epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.4839,1.17886,2.74929,1.05732,0.71318,0.90031,0.88264,0.60692,1.15774,1.25153,1.12979,0.000659722,0.000659722,0.000659722
2,57.8975,1.10798,0.80823,1.02065,0.4069,0.75705,0.5115,0.34932,1.22853,1.50543,1.18484,0.00130013,0.00130013,0.00130013
3,80.0626,1.10332,0.7518,1.04882,7e-05,0.01724,3e-05,2e-05,nan,nan,nan,0.00191413,0.00191413,0.00191413
4,102.052,1.1103,0.72303,1.04328,0.96373,0.91635,0.97417,0.64202,1.18811,0.80754,1.12929,0.0018812,0.0018812,0.0018812
5,124.109,1.07159,0.67749,1.02594,0.99274,0.94828,0.99182,0.69321,1.12893,0.59113,1.07705,0.0018416,0.0018416,0.0018416
6,146.071,1.01875,0.61432,1.01358,0.97978,1,0.995,0.69023,1.10952,0.54985,1.08648,0.001802,0.001802,0.001802
7,167.895,1.04221,0.60354,1.01142,0.98242,0.96355,0.98712,0.68542,1.09642,0.58391,1.09723,0.0017624,0.0017624,0.0017624
8,189.718,0.9989,0.58308,0.99986,0.9755,1,0.99415,0.73767,1.02198,0.58382,1.0255,0.0017228,0.0017228,0.0017228
9,211.831,0.97175,0.54881,0.97689,0.98294,0.99342,0.99449,0.75555,0.9994,0.49834,0.99992,0.0016832,0.0016832,0.0016832
10,233.886,0.99678,0.57103,0.98056,0.01545,0.98276,0.01563,0.01091,1.03801,59.2269,1.05718,0.0016436,0.0016436,0.0016436
11,255.726,0.94902,0.53457,0.96578,0.96345,1,0.99365,0.73865,1.02447,0.49626,1.01525,0.001604,0.001604,0.001604
12,277.68,0.95136,0.51943,0.96831,0.97318,0.98276,0.99337,0.76397,0.97111,0.46647,0.99708,0.0015644,0.0015644,0.0015644
13,299.622,0.95205,0.52656,0.98305,0.99369,1,0.995,0.7559,1.02362,0.491,1.03181,0.0015248,0.0015248,0.0015248
14,321.47,0.93542,0.50648,0.96904,1,0.97882,0.99467,0.747,1.0009,0.46305,1.03207,0.0014852,0.0014852,0.0014852
15,343.363,0.93612,0.48653,0.96705,0.96562,0.94828,0.9866,0.72589,1.00019,0.52489,1.05911,0.0014456,0.0014456,0.0014456
16,365.178,0.91541,0.48046,0.96939,0.98295,0.99379,0.99449,0.73882,0.97741,0.44347,1.02146,0.001406,0.001406,0.001406
17,386.901,0.90571,0.4798,0.95737,0.9796,1,0.99449,0.75326,1.00399,0.47496,1.02451,0.0013664,0.0013664,0.0013664
18,408.838,0.91236,0.47937,0.95898,0.96287,0.98276,0.99289,0.762,0.95413,0.45352,0.99514,0.0013268,0.0013268,0.0013268
19,430.68,0.89152,0.47292,0.94963,0.99375,1,0.995,0.75145,0.98659,0.44425,1.02429,0.0012872,0.0012872,0.0012872
20,452.6,0.89635,0.46389,0.94646,0.99399,1,0.995,0.76683,0.95577,0.41677,0.98994,0.0012476,0.0012476,0.0012476
21,474.83,0.9037,0.46305,0.96117,0.98094,1,0.99415,0.77408,0.922,0.41878,0.994,0.001208,0.001208,0.001208
22,496.805,0.89337,0.46302,0.95275,0.98244,1,0.99415,0.78188,0.99945,0.43111,1.01022,0.0011684,0.0011684,0.0011684
23,518.832,0.89059,0.4528,0.94471,0.95075,0.99852,0.99226,0.74543,0.98984,0.43752,0.99904,0.0011288,0.0011288,0.0011288
24,540.8,0.8649,0.44143,0.93555,1,0.9993,0.995,0.79707,0.90989,0.41415,0.98035,0.0010892,0.0010892,0.0010892
25,562.687,0.87339,0.44442,0.94056,0.99803,1,0.995,0.76278,0.92528,0.41474,0.98121,0.0010496,0.0010496,0.0010496
26,584.545,0.88129,0.4484,0.94129,0.97984,1,0.99364,0.77452,0.94161,0.43997,1.0063,0.00101,0.00101,0.00101
27,606.536,0.8571,0.42942,0.93838,0.99798,1,0.995,0.78571,0.94655,0.41006,0.99489,0.0009704,0.0009704,0.0009704
28,628.312,0.8521,0.42797,0.93934,0.99827,1,0.995,0.77104,0.96282,0.3958,1.00648,0.0009308,0.0009308,0.0009308
29,650.06,0.84749,0.41778,0.93088,0.98302,0.99847,0.99483,0.77342,0.95856,0.40774,1.0009,0.0008912,0.0008912,0.0008912
30,671.891,0.83835,0.41406,0.92929,0.9933,1,0.995,0.77769,0.95094,0.40924,1.01918,0.0008516,0.0008516,0.0008516
31,693.694,0.83629,0.41522,0.9299,1,0.99373,0.995,0.7897,0.92372,0.38675,0.98658,0.000812,0.000812,0.000812
32,715.494,0.84057,0.40667,0.93661,1,0.99871,0.995,0.78574,0.95435,0.38728,1.00089,0.0007724,0.0007724,0.0007724
33,737.329,0.81988,0.40108,0.92304,0.98056,1,0.99331,0.77305,0.95365,0.41132,0.99687,0.0007328,0.0007328,0.0007328
34,759.152,0.83067,0.40226,0.92561,0.96023,1,0.994,0.79489,0.91666,0.37936,0.98824,0.0006932,0.0006932,0.0006932
35,780.979,0.8173,0.3996,0.9265,1,0.99621,0.995,0.79084,0.92832,0.38111,0.97983,0.0006536,0.0006536,0.0006536
36,802.844,0.81451,0.39396,0.92055,0.99725,1,0.995,0.81096,0.89567,0.38806,0.96702,0.000614,0.000614,0.000614
37,824.922,0.81125,0.39378,0.92436,0.98963,0.96552,0.99383,0.78566,0.93809,0.37702,0.98678,0.0005744,0.0005744,0.0005744
38,846.731,0.80755,0.38094,0.91382,0.98301,0.99787,0.99483,0.79245,0.92402,0.37017,0.98401,0.0005348,0.0005348,0.0005348
39,868.59,0.80137,0.38557,0.91683,0.96659,0.99763,0.99432,0.80268,0.89329,0.35577,0.97722,0.0004952,0.0004952,0.0004952
40,890.413,0.79512,0.3758,0.91658,0.98303,0.99884,0.99483,0.8035,0.88236,0.36854,0.97377,0.0004556,0.0004556,0.0004556
41,913.618,0.80815,0.36853,0.92845,0.99499,0.96552,0.99416,0.80123,0.88049,0.37126,0.97417,0.000416,0.000416,0.000416
42,935.646,0.7932,0.36093,0.92176,0.9998,1,0.995,0.79367,0.89807,0.37239,0.97728,0.0003764,0.0003764,0.0003764
43,957.504,0.79725,0.36237,0.92708,0.98154,1,0.99449,0.78728,0.91203,0.37138,0.97947,0.0003368,0.0003368,0.0003368
44,979.268,0.79379,0.35849,0.91594,0.99442,1,0.995,0.79239,0.91917,0.36739,0.9787,0.0002972,0.0002972,0.0002972
45,1001.28,0.7805,0.34465,0.91048,1,0.99717,0.995,0.80794,0.90138,0.35708,0.97399,0.0002576,0.0002576,0.0002576
46,1022.97,0.76172,0.3432,0.90745,1,0.99911,0.995,0.82051,0.87326,0.35713,0.967,0.000218,0.000218,0.000218
47,1044.98,0.76621,0.33952,0.90532,0.99748,1,0.995,0.82079,0.86802,0.35354,0.96872,0.0001784,0.0001784,0.0001784
48,1067.08,0.76906,0.34315,0.90771,0.96221,1,0.99432,0.82179,0.85075,0.35488,0.96127,0.0001388,0.0001388,0.0001388
49,1089.07,0.76033,0.33695,0.90635,0.99692,1,0.995,0.8119,0.8747,0.34983,0.96948,9.92e-05,9.92e-05,9.92e-05
50,1111.01,0.74918,0.33042,0.90369,0.99237,1,0.995,0.80856,0.87968,0.34961,0.97112,5.96e-05,5.96e-05,5.96e-05
