epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7908,1.21118,2.07652,1.06335,0.91972,0.96552,0.96829,0.61288,1.28388,1.60302,1.41979,0.000663194,0.000663194,0.000663194
2,41.1231,1.1112,1.174,1.0223,0.88513,0.96552,0.96233,0.62693,1.22794,1.3031,1.28754,0.00130353,0.00130353,0.00130353
3,59.2623,1.13433,0.94202,1.05671,0.98262,0.975,0.99349,0.69604,1.15156,0.76066,1.26784,0.00191747,0.00191747,0.00191747
4,77.0316,1.09047,0.79651,1.02683,0.95046,0.99246,0.99281,0.68611,1.19823,0.66675,1.20855,0.0018812,0.0018812,0.0018812
5,94.6615,1.07989,0.71389,1.0257,0.97778,0.93103,0.98293,0.68776,1.11763,0.69196,1.18739,0.0018416,0.0018416,0.0018416
6,112.291,1.06554,0.67364,1.01614,0.98053,1,0.99042,0.68434,1.13024,0.74587,1.12619,0.001802,0.001802,0.001802
7,129.985,1.00749,0.63535,0.9927,0.98133,0.98276,0.99337,0.71405,1.11035,0.57776,1.14336,0.0017624,0.0017624,0.0017624
8,147.46,1.00476,0.61385,0.98125,0.99164,0.98276,0.99253,0.73158,1.12031,0.567,1.21538,0.0017228,0.0017228,0.0017228
9,165.393,1.01567,0.60365,0.99534,0.96656,0.96552,0.98952,0.74684,1.10985,0.56469,1.14021,0.0016832,0.0016832,0.0016832
10,183.071,0.98521,0.56826,0.98089,0.99679,1,0.995,0.76436,1.03741,0.52502,1.09223,0.0016436,0.0016436,0.0016436
11,200.767,0.96289,0.5611,0.97009,0.98162,1,0.99449,0.75185,1.11168,0.50983,1.15135,0.001604,0.001604,0.001604
12,218.581,0.95545,0.55447,0.96723,0.99679,1,0.995,0.73675,1.02337,0.49415,1.08484,0.0015644,0.0015644,0.0015644
13,236.37,0.94385,0.53332,0.96531,0.99303,0.98276,0.99467,0.74607,1.10524,0.52572,1.20737,0.0015248,0.0015248,0.0015248
14,254.021,0.93756,0.52859,0.96232,0.99711,0.98276,0.99435,0.74614,1.04911,0.52661,1.09343,0.0014852,0.0014852,0.0014852
15,271.774,0.95806,0.52708,0.97055,0.99655,1,0.995,0.73836,1.02973,0.46865,1.07335,0.0014456,0.0014456,0.0014456
16,289.488,0.9319,0.50663,0.96495,0.94558,1,0.99317,0.74218,1.07192,0.50315,1.17802,0.001406,0.001406,0.001406
17,307.119,0.90981,0.5055,0.95251,0.97658,1,0.99449,0.76449,0.99876,0.46425,1.10969,0.0013664,0.0013664,0.0013664
18,325.067,0.92034,0.50635,0.96299,0.99595,1,0.995,0.77996,1.0206,0.45821,1.14075,0.0013268,0.0013268,0.0013268
19,342.681,0.90628,0.4933,0.94773,0.9982,1,0.995,0.75749,1.06448,0.46878,1.16372,0.0012872,0.0012872,0.0012872
20,360.364,0.91488,0.49273,0.95166,0.98107,1,0.99398,0.76961,1.0502,0.44581,1.14375,0.0012476,0.0012476,0.0012476
21,378.132,0.90129,0.4739,0.95239,0.99662,1,0.995,0.76625,1.05453,0.44267,1.17002,0.001208,0.001208,0.001208
22,395.84,0.8934,0.47175,0.94568,0.99786,1,0.995,0.75321,1.05438,0.41902,1.1477,0.0011684,0.0011684,0.0011684
23,413.552,0.8814,0.46058,0.93708,0.99719,1,0.995,0.7651,1.03804,0.43062,1.11702,0.0011288,0.0011288,0.0011288
24,431.283,0.88178,0.45724,0.93663,0.99594,1,0.995,0.75023,1.08594,0.44113,1.15974,0.0010892,0.0010892,0.0010892
25,448.941,0.89403,0.4595,0.94265,0.99755,1,0.995,0.79674,1.04221,0.48358,1.15414,0.0010496,0.0010496,0.0010496
26,466.537,0.87914,0.45788,0.93282,0.99966,1,0.995,0.77376,1.01905,0.48252,1.10773,0.00101,0.00101,0.00101
27,484.325,0.88623,0.45324,0.9367,0.99812,1,0.995,0.78552,0.96813,0.42321,1.06315,0.0009704,0.0009704,0.0009704
28,501.839,0.87484,0.45016,0.93789,0.9984,1,0.995,0.77621,1.0151,0.42348,1.06829,0.0009308,0.0009308,0.0009308
29,519.31,0.85256,0.43681,0.9307,1,0.9967,0.995,0.77064,1.02365,0.43846,1.07198,0.0008912,0.0008912,0.0008912
30,537.091,0.8767,0.43884,0.93264,1,0.9992,0.995,0.78069,1.02439,0.42166,1.11661,0.0008516,0.0008516,0.0008516
31,554.661,0.86087,0.44237,0.92696,1,0.99849,0.995,0.76504,0.96855,0.42006,1.10099,0.000812,0.000812,0.000812
32,572.212,0.85948,0.43687,0.92724,0.98103,1,0.99449,0.78326,1.0099,0.39765,1.13871,0.0007724,0.0007724,0.0007724
