epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3767,1.20199,2.1934,1.04026,0.90331,0.48324,0.83066,0.54916,1.20385,2.87504,1.06398,0.000659722,0.000659722,0.000659722
2,29.5993,1.11588,1.22681,1.01711,0.93477,0.98276,0.9905,0.63932,1.17329,1.26214,1.11316,0.00130013,0.00130013,0.00130013
3,42.3103,1.08533,0.97292,1.02251,0.74486,0.60402,0.76489,0.53922,1.10386,2.48329,1.04813,0.00191413,0.00191413,0.00191413
4,55.4209,1.07807,0.81448,1.0094,0.94865,0.98276,0.96801,0.67436,1.10056,0.73648,1.001,0.0018812,0.0018812,0.0018812
5,68.0116,1.06166,0.73061,1.00416,0.96545,0.96368,0.98685,0.67329,1.14185,0.65253,1.03589,0.0018416,0.0018416,0.0018416
6,80.6142,1.02593,0.66991,1.00008,0.96546,0.96392,0.98924,0.70892,1.08021,0.65955,1.02317,0.001802,0.001802,0.001802
7,93.459,1.03251,0.63369,0.99221,0.94989,0.98051,0.99034,0.72199,1.12755,0.5786,1.05378,0.0017624,0.0017624,0.0017624
8,106.02,0.99511,0.61269,0.97563,0.9488,0.95853,0.98122,0.70547,1.05225,0.6031,0.98512,0.0017228,0.0017228,0.0017228
9,118.636,0.97005,0.57204,0.96474,0.9727,1,0.99331,0.71737,1.04084,0.54776,1.00415,0.0016832,0.0016832,0.0016832
10,131.331,0.99964,0.57494,0.96827,0.96578,0.97326,0.99315,0.71355,1.02884,0.51138,1.00651,0.0016436,0.0016436,0.0016436
11,143.83,0.94353,0.54541,0.95126,0.99798,1,0.995,0.73327,1.05028,0.52365,1.02791,0.001604,0.001604,0.001604
12,157.398,0.95696,0.53079,0.95732,1,0.99861,0.995,0.7638,0.95806,0.4801,0.97669,0.0015644,0.0015644,0.0015644
13,173.07,0.94464,0.53797,0.9644,0.99671,0.98276,0.99467,0.74837,1.0265,0.5075,1.00814,0.0015248,0.0015248,0.0015248
14,185.647,0.92946,0.52458,0.95532,0.99322,0.98276,0.99295,0.73092,1.03251,0.51953,1.01385,0.0014852,0.0014852,0.0014852
15,198.26,0.93257,0.51682,0.95457,0.98087,1,0.995,0.73605,1.03009,0.48053,1.00463,0.0014456,0.0014456,0.0014456
16,210.827,0.91836,0.50091,0.95265,0.98294,0.99352,0.98975,0.7555,0.97231,0.45716,0.97883,0.001406,0.001406,0.001406
17,223.384,0.91305,0.49687,0.94707,0.96346,1,0.98208,0.7191,1.00071,0.4569,0.99174,0.0013664,0.0013664,0.0013664
18,235.954,0.92233,0.49622,0.94979,1,0.9807,0.99435,0.75874,0.97283,0.46208,0.94841,0.0013268,0.0013268,0.0013268
19,248.571,0.90295,0.48184,0.93676,0.99207,1,0.995,0.74745,0.99502,0.46669,0.97283,0.0012872,0.0012872,0.0012872
20,261.289,0.90088,0.47189,0.93455,0.99857,1,0.995,0.78699,0.95772,0.44061,0.96772,0.0012476,0.0012476,0.0012476
21,274.395,0.90785,0.47206,0.94698,0.99561,1,0.995,0.77166,0.93312,0.43362,0.96174,0.001208,0.001208,0.001208
22,287.212,0.90507,0.47325,0.94456,0.98059,1,0.99297,0.77278,0.97723,0.42659,0.9916,0.0011684,0.0011684,0.0011684
23,299.695,0.88824,0.45714,0.93442,0.98157,1,0.99093,0.75892,1.02316,0.43989,0.99842,0.0011288,0.0011288,0.0011288
24,312.285,0.87517,0.45616,0.92897,0.95862,1,0.994,0.7862,0.92535,0.4372,0.97936,0.0010892,0.0010892,0.0010892
25,325.048,0.88601,0.45993,0.93458,0.99548,1,0.995,0.78001,0.94488,0.42646,0.95105,0.0010496,0.0010496,0.0010496
26,337.555,0.8879,0.45505,0.93002,0.99805,1,0.995,0.78727,0.95829,0.4298,0.97269,0.00101,0.00101,0.00101
27,350.197,0.86649,0.44679,0.93151,0.97877,1,0.99415,0.78213,0.9339,0.42957,0.96211,0.0009704,0.0009704,0.0009704
28,362.821,0.86252,0.43644,0.93035,0.98071,1,0.99364,0.77067,0.95173,0.43344,0.9666,0.0009308,0.0009308,0.0009308
29,375.416,0.86508,0.43627,0.92828,1,0.98244,0.99483,0.77171,0.94859,0.41664,0.96739,0.0008912,0.0008912,0.0008912
30,387.843,0.85266,0.42683,0.92273,0.97585,1,0.99415,0.7771,0.92061,0.4136,0.95974,0.0008516,0.0008516,0.0008516
31,400.62,0.84923,0.42028,0.92539,0.99738,1,0.995,0.77439,0.97316,0.41199,0.97532,0.000812,0.000812,0.000812
32,415.031,0.85761,0.42303,0.92725,0.99769,1,0.995,0.79839,0.90263,0.415,0.95262,0.0007724,0.0007724,0.0007724
33,427.961,0.83061,0.41703,0.91671,0.99811,1,0.995,0.77682,0.91724,0.39451,0.96256,0.0007328,0.0007328,0.0007328
34,441.193,0.84771,0.41604,0.9225,0.98301,0.99747,0.99449,0.80681,0.89572,0.38874,0.96678,0.0006932,0.0006932,0.0006932
35,453.971,0.82967,0.41232,0.92101,0.99874,1,0.995,0.79254,0.90758,0.40452,0.9552,0.0006536,0.0006536,0.0006536
36,466.563,0.83266,0.40538,0.91795,0.99875,1,0.995,0.81108,0.8937,0.38951,0.94667,0.000614,0.000614,0.000614
37,479.498,0.82881,0.40937,0.91848,0.99877,1,0.995,0.79509,0.90449,0.39253,0.95634,0.0005744,0.0005744,0.0005744
38,492.249,0.81893,0.39588,0.90982,0.983,0.99693,0.98958,0.79905,0.89216,0.38893,0.95546,0.0005348,0.0005348,0.0005348
