epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.4185,1.38311,1.55796,1.20648,0.00093,0.18966,0.00051,0.00028,nan,nan,nan,0.0703125,0.00329861,0.00329861
2,29.5297,1.32635,1.03054,1.21827,0.54728,0.58363,0.53405,0.32241,1.35229,3.49156,1.434,0.0401812,0.00650063,0.00650063
3,42.2773,1.27447,0.93379,1.19865,0.4708,0.5,0.52448,0.31057,1.29589,15.9188,1.31677,0.00991787,0.00957065,0.00957065
4,54.9844,1.23136,0.87661,1.16899,0.76609,0.79059,0.79314,0.49792,1.22982,1.80764,1.26001,0.009406,0.009406,0.009406
5,67.5769,1.17798,0.80781,1.15302,0.86333,0.87931,0.95383,0.62387,1.20793,1.29705,1.18954,0.009208,0.009208,0.009208
6,80.0874,1.13236,0.73271,1.13226,0.94534,0.89456,0.97732,0.66626,1.10422,0.88055,1.12971,0.00901,0.00901,0.00901
7,92.8265,1.11674,0.70407,1.10589,0.85811,0.93853,0.95774,0.65399,1.14642,0.73419,1.18362,0.008812,0.008812,0.008812
8,105.316,1.10324,0.69888,1.10222,0.90916,0.94828,0.9695,0.67713,1.09615,0.83957,1.12403,0.008614,0.008614,0.008614
9,118.546,1.06637,0.66658,1.08283,0.9817,0.94828,0.98706,0.69456,1.08662,0.63883,1.12272,0.008416,0.008416,0.008416
10,131.123,1.09559,0.65051,1.08207,0.9827,0.97951,0.99401,0.7174,1.08762,0.57944,1.14942,0.008218,0.008218,0.008218
11,143.858,1.03859,0.61838,1.06332,0.90551,0.99138,0.98287,0.70383,1.07347,0.59353,1.12805,0.00802,0.00802,0.00802
12,156.369,1.02228,0.61502,1.05362,0.96031,0.96552,0.98562,0.68633,1.1267,0.60462,1.1029,0.007822,0.007822,0.007822
13,171.609,1.02193,0.60981,1.07001,0.98282,0.9866,0.99483,0.73259,1.03703,0.53313,1.07959,0.007624,0.007624,0.007624
14,184.298,1.02613,0.59901,1.05851,0.94718,0.96552,0.97962,0.68848,1.18904,0.61909,1.20264,0.007426,0.007426,0.007426
15,197.296,1.0083,0.58338,1.04949,0.98255,0.97078,0.99372,0.71772,1.07496,0.55565,1.135,0.007228,0.007228,0.007228
16,210.285,0.99817,0.55871,1.0509,0.96582,1,0.99398,0.7121,1.09929,0.5104,1.11763,0.00703,0.00703,0.00703
17,224.352,0.97435,0.54851,1.037,0.99865,1,0.995,0.72985,1.05736,0.53956,1.09701,0.006832,0.006832,0.006832
18,236.76,0.99096,0.55844,1.03921,0.97888,0.98276,0.99293,0.7349,1.00907,0.50989,1.07582,0.006634,0.006634,0.006634
19,249.888,0.97779,0.55087,1.0327,0.9811,1,0.99449,0.72787,1.0382,0.49986,1.08473,0.006436,0.006436,0.006436
20,263.112,0.968,0.53719,1.02701,1,0.99402,0.995,0.7563,1.01389,0.46875,1.09075,0.006238,0.006238,0.006238
21,275.599,0.9685,0.52182,1.04059,1,0.99594,0.995,0.74867,0.98454,0.4652,1.07187,0.00604,0.00604,0.00604
22,288.054,0.96047,0.5168,1.02708,0.98009,1,0.99364,0.71854,1.06952,0.49821,1.14158,0.005842,0.005842,0.005842
23,300.897,0.95009,0.52101,1.01838,0.98301,0.99742,0.99398,0.73422,1.03949,0.48012,1.11878,0.005644,0.005644,0.005644
24,313.369,0.92984,0.49403,1.00738,0.99725,1,0.995,0.76367,1.0111,0.47358,1.08561,0.005446,0.005446,0.005446
25,326.031,0.95386,0.51151,1.01433,1,0.99662,0.995,0.76625,0.9804,0.4603,1.04715,0.005248,0.005248,0.005248
26,338.688,0.95382,0.50803,1.01732,0.98014,0.98276,0.99367,0.73879,0.98248,0.47452,1.08139,0.00505,0.00505,0.00505
27,351.04,0.92355,0.48952,1.0031,0.9808,1,0.99483,0.7649,1.00492,0.46345,1.07723,0.004852,0.004852,0.004852
28,363.422,0.91781,0.47982,1.00715,1,0.99881,0.995,0.76837,0.93832,0.41402,1.04398,0.004654,0.004654,0.004654
29,376.152,0.91951,0.47936,1.00187,0.98082,1,0.99483,0.76776,0.92518,0.41301,1.03928,0.004456,0.004456,0.004456
30,388.632,0.91186,0.46897,0.99435,0.99828,1,0.995,0.78064,0.90315,0.43137,1.0249,0.004258,0.004258,0.004258
31,401.115,0.90908,0.46744,1.00043,1,0.9994,0.995,0.75777,0.9975,0.43451,1.06679,0.00406,0.00406,0.00406
32,414.351,0.90685,0.46861,0.99619,0.98108,1,0.99449,0.77829,0.95613,0.43409,1.02985,0.003862,0.003862,0.003862
33,426.993,0.87825,0.45649,0.98182,1,0.99434,0.995,0.76139,0.95689,0.43389,1.05253,0.003664,0.003664,0.003664
34,440.519,0.88388,0.45177,0.98655,0.9985,1,0.995,0.78327,0.92019,0.40753,1.04631,0.003466,0.003466,0.003466
35,453.922,0.87831,0.45223,0.98818,0.98301,0.99751,0.99483,0.7689,0.93468,0.41042,1.04525,0.003268,0.003268,0.003268
36,466.373,0.87418,0.44614,0.98442,0.9666,0.99792,0.99432,0.77433,0.95236,0.41867,1.04639,0.00307,0.00307,0.00307
