epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0431,1.3336,2.3002,1.1266,0.78538,0.31561,0.65966,0.40559,1.42957,3.05024,1.10676,0.000659722,0.000659722,0.000659722
2,30.1256,1.20292,1.29557,1.08576,0.90671,0.87931,0.90973,0.52742,1.33376,1.44156,1.16957,0.00130013,0.00130013,0.00130013
3,42.9864,1.18145,1.06101,1.09528,0.93186,0.96552,0.96821,0.59544,1.33306,0.9422,1.11771,0.00191413,0.00191413,0.00191413
4,55.7499,1.15076,0.88562,1.07829,0.9645,0.96552,0.98747,0.6058,1.45698,0.75376,1.1232,0.0018812,0.0018812,0.0018812
5,68.3373,1.12257,0.78142,1.06189,0.93444,0.94828,0.97595,0.62167,1.29476,0.71022,1.08322,0.0018416,0.0018416,0.0018416
6,80.9509,1.09935,0.73402,1.05924,0.93161,0.93103,0.97892,0.60427,1.31485,1.34892,1.1298,0.001802,0.001802,0.001802
7,93.7555,1.10654,0.69535,1.05524,0.98399,0.91379,0.97301,0.64952,1.22203,0.71022,1.04655,0.0017624,0.0017624,0.0017624
8,106.289,1.05676,0.66378,1.03847,0.99498,1,0.995,0.64895,1.31605,0.60813,1.06851,0.0017228,0.0017228,0.0017228
9,118.843,1.04916,0.63341,1.02582,0.96369,0.98276,0.99137,0.70243,1.08623,0.55627,1.00714,0.0016832,0.0016832,0.0016832
10,131.532,1.04909,0.62366,1.02386,0.99083,1,0.995,0.61431,1.38201,0.57194,1.10613,0.0016436,0.0016436,0.0016436
11,144.684,1.04572,0.60857,1.0179,0.93755,0.98276,0.99249,0.71211,1.08549,0.50882,1.01428,0.001604,0.001604,0.001604
12,157.473,1.00038,0.57455,1.00496,0.99835,1,0.995,0.68534,1.18872,0.51435,1.04313,0.0015644,0.0015644,0.0015644
13,171.616,0.99216,0.57191,1.00919,0.97804,0.98276,0.99382,0.71626,1.10379,0.49879,1.02017,0.0015248,0.0015248,0.0015248
14,184.032,0.98973,0.5582,1.00149,0.98041,1,0.99246,0.69764,1.11591,0.522,1.02361,0.0014852,0.0014852,0.0014852
15,196.729,0.97769,0.55035,0.99923,0.96442,1,0.99398,0.72001,1.09737,0.50509,1.03212,0.0014456,0.0014456,0.0014456
16,210.425,0.95724,0.53888,0.99191,0.98301,0.99765,0.99415,0.71766,1.08754,0.49578,1.01605,0.001406,0.001406,0.001406
17,224.708,0.95505,0.53169,0.99673,1,0.99671,0.995,0.71767,1.11806,0.4777,0.99795,0.0013664,0.0013664,0.0013664
18,237.394,0.94604,0.52598,0.98562,0.99826,1,0.995,0.70845,1.07954,0.4945,1.01649,0.0013268,0.0013268,0.0013268
19,250,0.9431,0.5272,0.98283,0.99807,1,0.995,0.73605,1.03649,0.45096,0.98734,0.0012872,0.0012872,0.0012872
20,262.925,0.9348,0.50777,0.97841,0.99683,1,0.995,0.71706,1.05507,0.45234,1.01813,0.0012476,0.0012476,0.0012476
21,276.037,0.93811,0.50505,0.97785,1,0.99735,0.995,0.7207,1.12951,0.49288,1.04098,0.001208,0.001208,0.001208
22,288.891,0.93806,0.49921,0.9804,0.99836,1,0.995,0.75023,1.05141,0.4474,0.99659,0.0011684,0.0011684,0.0011684
23,301.919,0.92587,0.49361,0.96891,0.9916,1,0.995,0.74035,1.02918,0.4441,1.0011,0.0011288,0.0011288,0.0011288
24,314.415,0.89615,0.48512,0.96092,0.99808,1,0.995,0.77019,1.02907,0.44235,0.98779,0.0010892,0.0010892,0.0010892
25,327.024,0.91623,0.48866,0.96933,0.99846,1,0.995,0.74559,1.04505,0.45639,1.0002,0.0010496,0.0010496,0.0010496
26,339.517,0.90801,0.47651,0.97348,0.99791,1,0.995,0.74886,1.03395,0.44318,1.00032,0.00101,0.00101,0.00101
27,352.035,0.90212,0.47977,0.97114,0.99818,1,0.995,0.75347,1.05327,0.43782,0.99372,0.0009704,0.0009704,0.0009704
28,364.551,0.8869,0.46654,0.95408,0.99775,1,0.995,0.74948,1.02224,0.44907,0.99275,0.0009308,0.0009308,0.0009308
29,377.393,0.87863,0.46582,0.95508,0.98304,0.9995,0.99483,0.76024,1.01844,0.42601,0.97222,0.0008912,0.0008912,0.0008912
30,389.983,0.87283,0.46064,0.94799,0.98305,0.99987,0.99449,0.75507,1.02402,0.42494,0.98691,0.0008516,0.0008516,0.0008516
31,402.816,0.90034,0.45714,0.96786,0.98303,0.99884,0.99483,0.76512,0.98664,0.40964,0.98013,0.000812,0.000812,0.000812
32,416.195,0.86065,0.44835,0.95014,0.98304,0.99909,0.99415,0.77271,0.97251,0.42064,0.97162,0.0007724,0.0007724,0.0007724
33,428.781,0.84085,0.43894,0.9418,0.9658,1,0.99432,0.77768,0.95635,0.39253,0.96308,0.0007328,0.0007328,0.0007328
34,441.364,0.8651,0.44309,0.94962,1,0.98026,0.99467,0.77928,0.97734,0.40372,0.99177,0.0006932,0.0006932,0.0006932
35,454.081,0.84312,0.43827,0.94149,0.98301,0.99752,0.99483,0.77326,0.97456,0.41094,0.98061,0.0006536,0.0006536,0.0006536
36,466.638,0.84638,0.43728,0.93977,0.98268,0.97801,0.99365,0.76589,0.97726,0.39897,0.97798,0.000614,0.000614,0.000614
