epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.1175,1.1983,1.342,1.07785,0.59455,0.7931,0.60962,0.3923,1.15932,2.75532,1.20273,0.0671719,0.000331597,0.000331597
2,39.5499,1.07122,0.78105,1.01239,0.96301,0.96552,0.98773,0.70202,1.13325,0.73653,1.17324,0.0341587,0.000651765,0.000651765
3,57.575,1.06259,0.7048,1.01929,0.97553,0.98276,0.99334,0.70355,1.15528,0.72455,1.19685,0.00113234,0.000958733,0.000958733
4,75.4666,1.04186,0.66852,0.99576,0.98474,0.98276,0.99483,0.70227,1.19641,0.62253,1.23664,0.0009406,0.0009406,0.0009406
5,93.203,1.01931,0.63456,0.99774,0.99502,1,0.995,0.71604,1.09004,0.5476,1.18277,0.0009208,0.0009208,0.0009208
6,111.179,1.01014,0.59665,0.9908,0.96327,1,0.99191,0.72585,1.14055,0.57569,1.23172,0.000901,0.000901,0.000901
7,129.07,0.96643,0.57356,0.97227,0.97972,0.98276,0.99306,0.7375,1.10338,0.51785,1.17044,0.0008812,0.0008812,0.0008812
8,146.859,0.96116,0.56486,0.96935,0.94932,0.96886,0.99192,0.71078,1.11566,0.52852,1.16805,0.0008614,0.0008614,0.0008614
9,164.63,0.9582,0.55494,0.97058,0.99307,0.96552,0.99184,0.743,1.06554,0.52719,1.20165,0.0008416,0.0008416,0.0008416
10,182.428,0.95767,0.53737,0.96564,0.99711,1,0.995,0.76088,0.99974,0.50272,1.10024,0.0008218,0.0008218,0.0008218
11,200.342,0.92272,0.51808,0.95167,0.94993,0.98132,0.99076,0.74728,1.0618,0.50297,1.12648,0.000802,0.000802,0.000802
12,218.283,0.94141,0.5217,0.96025,1,0.99473,0.995,0.76419,1.01231,0.45935,1.07855,0.0007822,0.0007822,0.0007822
13,236.134,0.91669,0.50832,0.95394,0.99602,0.98276,0.99483,0.76554,0.96997,0.46293,1.05487,0.0007624,0.0007624,0.0007624
14,253.911,0.91267,0.50364,0.95251,0.98303,0.99889,0.99483,0.78097,0.96987,0.44946,1.06041,0.0007426,0.0007426,0.0007426
15,272.278,0.90312,0.4862,0.94731,0.98028,0.98276,0.99432,0.7638,0.99554,0.466,1.08526,0.0007228,0.0007228,0.0007228
16,289.994,0.9047,0.48481,0.94856,0.98052,0.98276,0.99311,0.75255,1.06099,0.51138,1.10625,0.000703,0.000703,0.000703
17,307.761,0.89002,0.48024,0.94842,0.9949,1,0.995,0.7576,1.0219,0.46137,1.10757,0.0006832,0.0006832,0.0006832
18,325.701,0.89707,0.47532,0.95047,1,0.99808,0.995,0.76125,1.06323,0.47237,1.15675,0.0006634,0.0006634,0.0006634
19,343.499,0.88158,0.46852,0.93658,0.98303,0.99873,0.99449,0.77311,1.00789,0.42106,1.14369,0.0006436,0.0006436,0.0006436
20,361.342,0.89812,0.47208,0.94645,0.99229,1,0.995,0.77498,0.96089,0.45272,1.07923,0.0006238,0.0006238,0.0006238
