epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.608,1.19723,1.32359,1.07671,0.88198,0.90202,0.9506,0.64651,1.26297,0.82914,1.31482,0.0671719,0.000331597,0.000331597
2,159.535,1.066,0.78073,1.01457,0.92989,0.91467,0.96126,0.64479,1.19391,0.92925,1.20003,0.0341499,0.000642988,0.000642988
3,176.909,1.05316,0.70961,1.0274,0.96179,0.98276,0.98806,0.68249,1.18566,0.68546,1.31927,0.00110599,0.000932378,0.000932378
4,194.638,1.0431,0.66847,1.01128,0.99089,0.96552,0.99298,0.69455,1.22084,0.61038,1.28837,0.000901,0.000901,0.000901
5,211.964,1.00717,0.61765,0.99357,0.99737,1,0.995,0.7465,1.10917,0.54923,1.17732,0.000868,0.000868,0.000868
6,229.39,1.00051,0.59254,0.98623,0.97837,1,0.99415,0.72179,1.13969,0.5528,1.19099,0.000835,0.000835,0.000835
7,246.492,0.96229,0.57347,0.97431,0.99826,1,0.995,0.72427,1.06777,0.53117,1.20226,0.000802,0.000802,0.000802
8,263.983,0.96581,0.56718,0.96994,0.97978,0.96552,0.99335,0.73277,1.13792,0.53641,1.26343,0.000769,0.000769,0.000769
9,281.243,0.94929,0.54751,0.96544,0.99792,1,0.995,0.76084,1.08824,0.52204,1.1279,0.000736,0.000736,0.000736
10,298.45,0.94328,0.52691,0.96413,0.95068,0.99705,0.98231,0.72702,1.10728,0.51346,1.17015,0.000703,0.000703,0.000703
11,315.72,0.91938,0.51005,0.94785,0.9489,1,0.99048,0.74207,1.05657,0.47507,1.10199,0.00067,0.00067,0.00067
12,332.956,0.93153,0.51243,0.95985,0.99583,1,0.995,0.75383,1.02081,0.47219,1.08703,0.000637,0.000637,0.000637
13,350.141,0.91227,0.49393,0.95556,0.98117,1,0.995,0.76,1.02391,0.48377,1.12929,0.000604,0.000604,0.000604
14,367.506,0.90854,0.49375,0.95047,0.98109,1,0.99483,0.7733,1.03536,0.48135,1.10492,0.000571,0.000571,0.000571
15,384.782,0.89191,0.47415,0.9457,0.98205,0.98276,0.99353,0.77507,1.00419,0.45388,1.13363,0.000538,0.000538,0.000538
16,402.099,0.88104,0.46193,0.94484,0.99831,1,0.995,0.77802,1.03582,0.43543,1.15705,0.000505,0.000505,0.000505
17,419.53,0.8703,0.46054,0.93804,0.99685,1,0.995,0.78112,1.01663,0.44414,1.13708,0.000472,0.000472,0.000472
18,436.902,0.87723,0.45994,0.94298,0.97986,1,0.99449,0.75737,1.03004,0.44153,1.12058,0.000439,0.000439,0.000439
19,454.123,0.85513,0.44844,0.9316,0.99776,1,0.995,0.79449,0.99938,0.43324,1.12497,0.000406,0.000406,0.000406
20,471.777,0.87188,0.44757,0.93607,1,0.9954,0.995,0.79042,0.99357,0.413,1.12727,0.000373,0.000373,0.000373
21,497.723,0.86168,0.41819,0.94163,0.99817,1,0.995,0.78839,1.02391,0.41343,1.11979,0.00034,0.00034,0.00034
22,514.919,0.85974,0.41124,0.9347,0.99226,1,0.995,0.77487,0.9986,0.42915,1.15261,0.000307,0.000307,0.000307
23,532.029,0.84307,0.40882,0.92886,0.99937,1,0.995,0.78909,0.98882,0.41709,1.13857,0.000274,0.000274,0.000274
24,549.296,0.83259,0.39877,0.92265,0.97572,1,0.99297,0.77817,0.98749,0.42373,1.14713,0.000241,0.000241,0.000241
25,566.256,0.83346,0.3955,0.92705,0.99942,1,0.995,0.79356,0.96179,0.3985,1.13873,0.000208,0.000208,0.000208
26,583.245,0.8255,0.39182,0.92175,0.99478,1,0.995,0.80457,0.95274,0.39468,1.10105,0.000175,0.000175,0.000175
27,600.438,0.81476,0.38047,0.91954,0.99158,1,0.995,0.81246,0.95151,0.40345,1.1073,0.000142,0.000142,0.000142
28,617.537,0.80156,0.37563,0.9228,0.99455,1,0.995,0.79379,0.94268,0.42604,1.08181,0.000109,0.000109,0.000109
29,634.6,0.79583,0.36733,0.91321,0.9953,1,0.995,0.80753,0.93949,0.4033,1.06666,7.6e-05,7.6e-05,7.6e-05
30,651.95,0.78965,0.36057,0.90862,0.99635,1,0.995,0.81144,0.93238,0.39247,1.07602,4.3e-05,4.3e-05,4.3e-05
